Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2021-01-04,2021,1,4,Monday,01,2021-01,163.5,163.6,157.2,159.33,88228000,0.0,159.33,159.33
2021-01-06,2021,1,6,Wednesday,01,2021-01,157.32,159.88,156.56,156.92,87896000,-0.024896614147709384,159.06,159.06
2021-01-07,2021,1,7,Thursday,01,2021-01,157.85,160.43,157.75,158.11,70290000,0.0075771277744003385,158.8225,158.8225
2021-01-08,2021,1,8,Friday,01,2021-01,159.0,159.53,157.11,159.13,70754000,0.006495514374673217,158.88400000000001,158.88400000000001
2021-01-11,2021,1,11,Monday,02,2021-02,157.4,157.82,155.5,155.71,73668000,-0.021519462280005563,158.355,158.355
2021-01-12,2021,1,12,Tuesday,02,2021-02,156.0,157.11,154.3,156.04,70292000,0.002125797051401035,158.02428571428572,158.02428571428572
2021-01-13,2021,1,13,Wednesday,02,2021-02,156.42,159.5,156.1,158.29,66424000,0.014438406874172749,158.0575,158.0575
2021-01-14,2021,1,14,Thursday,02,2021-02,158.38,158.9,156.03,156.37,61418000,-0.012135545173177387,157.87,157.87
2021-01-15,2021,1,15,Friday,02,2021-02,156.15,157.13,154.76,155.21,84880000,-0.007424600125642833,157.60399999999998,157.60399999999998
2021-01-19,2021,1,19,Tuesday,03,2021-03,155.35,157.25,154.8,156.04,66102000,0.005318518294228358,157.4618181818182,157.4618181818182
2021-01-20,2021,1,20,Wednesday,03,2021-03,159.1,163.99,158.75,163.17,106196000,0.04570048462239673,157.9375,157.9375
2021-01-21,2021,1,21,Thursday,03,2021-03,164.65,167.43,164.48,165.35,98722000,0.013363421550624865,158.5076923076923,158.5076923076923
2021-01-22,2021,1,22,Friday,03,2021-03,165.22,166.1,164.16,164.61,56438000,-0.00446331304512726,158.94357142857143,158.94357142857143
2021-01-25,2021,1,25,Monday,04,2021-04,166.43,168.19,162.16,164.7,74996000,0.0005376354551673845,159.32714285714286,159.3273333333333
2021-01-26,2021,1,26,Tuesday,04,2021-04,164.82,166.9,164.14,166.31,59104000,0.009754137082109926,159.71142857142854,159.76375
2021-01-27,2021,1,27,Wednesday,04,2021-04,167.07,167.33,160.35,161.63,93204000,-0.02812581228312927,160.04785714285714,159.8735294117647
2021-01-28,2021,1,28,Thursday,04,2021-04,161.75,165.08,161.43,161.88,62984000,0.0015591193708615059,160.31714285714287,159.985
2021-01-29,2021,1,29,Friday,04,2021-04,161.5,161.85,159.23,160.31,85872000,-0.009704654514695155,160.40142857142857,160.0021052631579
2021-02-01,2021,2,1,Monday,05,2021-05,162.12,167.51,161.75,167.14,83204000,0.042629902924745666,161.21785714285713,160.35899999999998
